problem_id,model,prompt_detail,temp,i,levenshtein distance
1,gpt3.5,L,0.3,1,14
1,gpt3.5,L,0.3,2,14
1,gpt3.5,L,0.3,11,14
1,gpt3.5,L,0.3,19,14
1,gpt3.5,L,0.3,40,14
1,gpt3.5,L,0.3,41,14
1,gpt3.5,L,0.3,46,14
1,gpt3.5,L,0.3,73,14
1,gpt3.5,L,0.3,78,14
1,gpt3.5,L,0.3,79,14
1,gpt3.5,L,0.3,97,14
1,gpt3.5,L,0.3,99,14
1,gpt3.5,L,0.5,1,14
1,gpt3.5,L,0.5,2,14
1,gpt3.5,L,0.5,5,14
1,gpt3.5,L,0.5,7,827
1,gpt3.5,L,0.5,11,14
1,gpt3.5,L,0.5,14,14
1,gpt3.5,L,0.5,15,14
1,gpt3.5,L,0.5,16,14
1,gpt3.5,L,0.5,18,573
1,gpt3.5,L,0.5,19,14
1,gpt3.5,L,0.5,22,14
1,gpt3.5,L,0.5,24,1286
1,gpt3.5,L,0.5,29,14
1,gpt3.5,L,0.5,36,1013
1,gpt3.5,L,0.5,37,14
1,gpt3.5,L,0.5,38,14
1,gpt3.5,L,0.5,40,14
1,gpt3.5,L,0.5,41,14
1,gpt3.5,L,0.5,46,14
1,gpt3.5,L,0.5,50,598
1,gpt3.5,L,0.5,66,862
1,gpt3.5,L,0.5,67,14
1,gpt3.5,L,0.5,71,14
1,gpt3.5,L,0.5,73,14
1,gpt3.5,L,0.5,79,14
1,gpt3.5,L,0.5,81,14
1,gpt3.5,L,0.5,83,14
1,gpt3.5,L,0.5,84,14
1,gpt3.5,L,0.5,87,14
1,gpt3.5,L,0.5,89,969
1,gpt3.5,L,0.5,94,14
1,gpt3.5,L,0.5,97,14
1,gpt3.5,L,0.5,98,14
1,gpt3.5,L,0.5,99,14
1,gpt3.5,L,0.7,1,14
1,gpt3.5,L,0.7,2,14
1,gpt3.5,L,0.7,4,14
1,gpt3.5,L,0.7,5,14
1,gpt3.5,L,0.7,7,600
1,gpt3.5,L,0.7,11,14
1,gpt3.5,L,0.7,14,14
1,gpt3.5,L,0.7,15,14
1,gpt3.5,L,0.7,16,14
1,gpt3.5,L,0.7,18,567
1,gpt3.5,L,0.7,19,14
1,gpt3.5,L,0.7,22,14
1,gpt3.5,L,0.7,24,1122
1,gpt3.5,L,0.7,29,14
1,gpt3.5,L,0.7,31,708
1,gpt3.5,L,0.7,34,14
1,gpt3.5,L,0.7,36,1023
1,gpt3.5,L,0.7,37,14
1,gpt3.5,L,0.7,40,14
1,gpt3.5,L,0.7,41,14
1,gpt3.5,L,0.7,46,14
1,gpt3.5,L,0.7,50,903
1,gpt3.5,L,0.7,66,100
1,gpt3.5,L,0.7,67,14
1,gpt3.5,L,0.7,71,14
1,gpt3.5,L,0.7,73,14
1,gpt3.5,L,0.7,74,14
1,gpt3.5,L,0.7,78,14
1,gpt3.5,L,0.7,79,14
1,gpt3.5,L,0.7,81,14
1,gpt3.5,L,0.7,83,14
1,gpt3.5,L,0.7,84,14
1,gpt3.5,L,0.7,89,843
1,gpt3.5,L,0.7,90,957
1,gpt3.5,L,0.7,91,14
1,gpt3.5,L,0.7,94,14
1,gpt3.5,L,0.7,97,14
1,gpt3.5,L,0.7,98,14
1,gpt3.5,L,0.7,99,14
1,gpt3.5,L,1.0,1,14
1,gpt3.5,L,1.0,2,14
1,gpt3.5,L,1.0,4,14
1,gpt3.5,L,1.0,5,14
1,gpt3.5,L,1.0,7,693
1,gpt3.5,L,1.0,11,14
1,gpt3.5,L,1.0,14,14
1,gpt3.5,L,1.0,15,14
1,gpt3.5,L,1.0,16,14
1,gpt3.5,L,1.0,18,956
1,gpt3.5,L,1.0,19,14
1,gpt3.5,L,1.0,20,14
1,gpt3.5,L,1.0,21,14
1,gpt3.5,L,1.0,22,14
1,gpt3.5,L,1.0,24,785
1,gpt3.5,L,1.0,29,14
1,gpt3.5,L,1.0,31,814
1,gpt3.5,L,1.0,32,114
1,gpt3.5,L,1.0,34,14
1,gpt3.5,L,1.0,36,966
1,gpt3.5,L,1.0,37,14
1,gpt3.5,L,1.0,38,14
1,gpt3.5,L,1.0,40,14
1,gpt3.5,L,1.0,41,14
1,gpt3.5,L,1.0,44,14
1,gpt3.5,L,1.0,46,14
1,gpt3.5,L,1.0,50,894
1,gpt3.5,L,1.0,52,14
1,gpt3.5,L,1.0,54,7
1,gpt3.5,L,1.0,57,14
1,gpt3.5,L,1.0,63,14
1,gpt3.5,L,1.0,66,729
1,gpt3.5,L,1.0,71,14
1,gpt3.5,L,1.0,73,14
1,gpt3.5,L,1.0,74,14
1,gpt3.5,L,1.0,78,735
1,gpt3.5,L,1.0,79,14
1,gpt3.5,L,1.0,81,14
1,gpt3.5,L,1.0,83,14
1,gpt3.5,L,1.0,84,14
1,gpt3.5,L,1.0,87,14
1,gpt3.5,L,1.0,89,837
1,gpt3.5,L,1.0,90,107
1,gpt3.5,L,1.0,91,14
1,gpt3.5,L,1.0,94,14
1,gpt3.5,L,1.0,97,14
1,gpt3.5,L,1.0,98,14
1,gpt3.5,L,1.0,99,14
1,gpt3.5,M,0.3,19,14
1,gpt3.5,M,0.5,10,14
1,gpt3.5,M,0.5,19,14
1,gpt3.5,M,0.5,40,14
1,gpt3.5,M,0.5,65,14
1,gpt3.5,M,0.5,67,14
1,gpt3.5,M,0.5,71,14
1,gpt3.5,M,0.7,9,644
1,gpt3.5,M,0.7,10,14
1,gpt3.5,M,0.7,19,14
1,gpt3.5,M,0.7,20,14
1,gpt3.5,M,0.7,26,14
1,gpt3.5,M,0.7,40,14
1,gpt3.5,M,0.7,54,446
1,gpt3.5,M,0.7,56,14
1,gpt3.5,M,0.7,59,14
1,gpt3.5,M,0.7,64,14
1,gpt3.5,M,0.7,65,14
1,gpt3.5,M,0.7,67,14
1,gpt3.5,M,0.7,71,14
1,gpt3.5,M,1.0,9,709
1,gpt3.5,M,1.0,10,14
1,gpt3.5,M,1.0,15,14
1,gpt3.5,M,1.0,19,14
1,gpt3.5,M,1.0,20,14
1,gpt3.5,M,1.0,26,14
1,gpt3.5,M,1.0,27,73
1,gpt3.5,M,1.0,32,338
1,gpt3.5,M,1.0,40,14
1,gpt3.5,M,1.0,45,14
1,gpt3.5,M,1.0,49,14
1,gpt3.5,M,1.0,51,14
1,gpt3.5,M,1.0,54,239
1,gpt3.5,M,1.0,56,14
1,gpt3.5,M,1.0,59,14
1,gpt3.5,M,1.0,64,14
1,gpt3.5,M,1.0,65,14
1,gpt3.5,M,1.0,67,14
1,gpt3.5,M,1.0,71,15
1,gpt3.5,M,1.0,72,14
1,gpt3.5,M,1.0,75,14
1,gpt3.5,M,1.0,77,14
1,gpt3.5,M,1.0,79,873
1,gpt3.5,M,1.0,94,14
1,gpt3.5,M,1.0,99,14
1,gpt3.5,H,0.1,0,14
1,gpt3.5,H,0.1,1,14
1,gpt3.5,H,0.1,2,14
1,gpt3.5,H,0.1,3,14
1,gpt3.5,H,0.1,4,14
1,gpt3.5,H,0.1,5,14
1,gpt3.5,H,0.1,6,14
1,gpt3.5,H,0.1,7,14
1,gpt3.5,H,0.1,8,14
1,gpt3.5,H,0.1,9,14
1,gpt3.5,H,0.1,10,14
1,gpt3.5,H,0.1,11,14
1,gpt3.5,H,0.1,12,14
1,gpt3.5,H,0.1,13,14
1,gpt3.5,H,0.1,14,14
1,gpt3.5,H,0.1,15,14
1,gpt3.5,H,0.1,16,14
1,gpt3.5,H,0.1,17,14
1,gpt3.5,H,0.1,18,14
1,gpt3.5,H,0.1,19,14
1,gpt3.5,H,0.1,20,14
1,gpt3.5,H,0.1,21,14
1,gpt3.5,H,0.1,22,14
1,gpt3.5,H,0.1,23,14
1,gpt3.5,H,0.1,24,14
1,gpt3.5,H,0.1,25,14
1,gpt3.5,H,0.1,26,14
1,gpt3.5,H,0.1,27,14
1,gpt3.5,H,0.1,28,14
1,gpt3.5,H,0.1,29,14
1,gpt3.5,H,0.1,30,14
1,gpt3.5,H,0.1,31,14
1,gpt3.5,H,0.1,33,14
1,gpt3.5,H,0.1,34,14
1,gpt3.5,H,0.1,35,14
1,gpt3.5,H,0.1,36,14
1,gpt3.5,H,0.1,37,14
1,gpt3.5,H,0.1,38,14
1,gpt3.5,H,0.1,39,14
1,gpt3.5,H,0.1,40,14
1,gpt3.5,H,0.1,41,14
1,gpt3.5,H,0.1,42,14
1,gpt3.5,H,0.1,43,14
1,gpt3.5,H,0.1,44,14
1,gpt3.5,H,0.1,45,14
1,gpt3.5,H,0.1,46,14
1,gpt3.5,H,0.1,47,14
1,gpt3.5,H,0.1,48,14
1,gpt3.5,H,0.1,49,14
1,gpt3.5,H,0.1,50,14
1,gpt3.5,H,0.1,51,14
1,gpt3.5,H,0.1,52,14
1,gpt3.5,H,0.1,53,14
1,gpt3.5,H,0.1,54,14
1,gpt3.5,H,0.1,55,14
1,gpt3.5,H,0.1,56,14
1,gpt3.5,H,0.1,57,14
1,gpt3.5,H,0.1,58,14
1,gpt3.5,H,0.1,59,14
1,gpt3.5,H,0.1,60,14
1,gpt3.5,H,0.1,61,14
1,gpt3.5,H,0.1,62,14
1,gpt3.5,H,0.1,63,14
1,gpt3.5,H,0.1,64,14
1,gpt3.5,H,0.1,65,14
1,gpt3.5,H,0.1,66,14
1,gpt3.5,H,0.1,67,14
1,gpt3.5,H,0.1,68,14
1,gpt3.5,H,0.1,69,14
1,gpt3.5,H,0.1,70,14
1,gpt3.5,H,0.1,71,14
1,gpt3.5,H,0.1,72,14
1,gpt3.5,H,0.1,73,14
1,gpt3.5,H,0.1,74,14
1,gpt3.5,H,0.1,75,14
1,gpt3.5,H,0.1,76,14
1,gpt3.5,H,0.1,77,14
1,gpt3.5,H,0.1,78,14
1,gpt3.5,H,0.1,79,14
1,gpt3.5,H,0.1,80,14
1,gpt3.5,H,0.1,81,14
