filename,model_type,prompt_detail,temp,completion_id,compiled,passed_bench,period_low,entropy_low,period_high,entropy_high,area
ref.sv,manual,,-1.0,-1,1,1,65535,11.090339630053643,1,0.0,28.508159
completions_llm/completion_H_t0.1_0.v,llm,H,0.1,0,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_1.v,llm,H,0.1,1,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_10.v,llm,H,0.1,10,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_11.v,llm,H,0.1,11,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_12.v,llm,H,0.1,12,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_13.v,llm,H,0.1,13,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_14.v,llm,H,0.1,14,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_15.v,llm,H,0.1,15,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_16.v,llm,H,0.1,16,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_17.v,llm,H,0.1,17,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_18.v,llm,H,0.1,18,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_19.v,llm,H,0.1,19,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_2.v,llm,H,0.1,2,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_20.v,llm,H,0.1,20,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_21.v,llm,H,0.1,21,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_22.v,llm,H,0.1,22,1,1,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_23.v,llm,H,0.1,23,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_24.v,llm,H,0.1,24,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_25.v,llm,H,0.1,25,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_26.v,llm,H,0.1,26,1,1,1,0.0,1,0.0,0.0
completions_llm/completion_H_t0.1_27.v,llm,H,0.1,27,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_28.v,llm,H,0.1,28,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_29.v,llm,H,0.1,29,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_3.v,llm,H,0.1,3,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_30.v,llm,H,0.1,30,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_31.v,llm,H,0.1,31,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_32.v,llm,H,0.1,32,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_33.v,llm,H,0.1,33,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_34.v,llm,H,0.1,34,1,1,1,0.0,1,0.0,
completions_llm/completion_H_t0.1_35.v,llm,H,0.1,35,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_36.v,llm,H,0.1,36,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_37.v,llm,H,0.1,37,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_38.v,llm,H,0.1,38,1,1,0,0.0,0,0.0,0.0
completions_llm/completion_H_t0.1_39.v,llm,H,0.1,39,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_4.v,llm,H,0.1,4,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_40.v,llm,H,0.1,40,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_41.v,llm,H,0.1,41,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_42.v,llm,H,0.1,42,1,1,1,0.0,1,0.0,8.011776
completions_llm/completion_H_t0.1_43.v,llm,H,0.1,43,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_44.v,llm,H,0.1,44,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_45.v,llm,H,0.1,45,1,1,2,9.753172347484865e-05,2,0.6931471802980068,
completions_llm/completion_H_t0.1_46.v,llm,H,0.1,46,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_47.v,llm,H,0.1,47,1,1,1,0.0,16,0.002850216321537,
completions_llm/completion_H_t0.1_48.v,llm,H,0.1,48,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_49.v,llm,H,0.1,49,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_5.v,llm,H,0.1,5,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_50.v,llm,H,0.1,50,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_51.v,llm,H,0.1,51,1,1,1,0.0,31,0.698268108364569,
completions_llm/completion_H_t0.1_52.v,llm,H,0.1,52,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_53.v,llm,H,0.1,53,1,1,1,0.0,16,0.002850216321537,
completions_llm/completion_H_t0.1_54.v,llm,H,0.1,54,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_55.v,llm,H,0.1,55,1,1,0,0.0,0,0.0,0.0
completions_llm/completion_H_t0.1_56.v,llm,H,0.1,56,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_57.v,llm,H,0.1,57,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_58.v,llm,H,0.1,58,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_59.v,llm,H,0.1,59,0,0,0,0.0,0,0.0,
completions_llm/completion_H_t0.1_6.v,llm,H,0.1,6,1,1,1,0.0,1,0.0,31.604735
completions_llm/completion_H_t0.1_60.v,llm,H,0.1,60,1,1,1,0.0,1,0.0,31.604735
